age,signup_channel,device_type,location,browsing_time_minutes,referral_code_used,cart_value,recommended_discount
56,Referral,Tablet,Urban,33,0,1463,5
46,Ads,Desktop,Metro,32,1,713,5
32,Email,Tablet,Urban,13,0,828,0
25,Email,Mobile,Metro,3,0,339,0
38,Ads,Tablet,Metro,2,1,339,10
56,Social,Mobile,Rural,44,0,832,5
36,Social,Desktop,Metro,0,0,369,0
40,Referral,Desktop,Rural,18,1,639,5
28,Email,Tablet,Urban,4,1,1409,0
28,Social,Mobile,Urban,5,1,434,10
41,Referral,Mobile,Rural,17,0,1689,5
53,Referral,Tablet,Metro,0,0,542,0
57,Referral,Mobile,Urban,4,0,824,0
41,Social,Mobile,Urban,30,0,1007,5
20,Social,Mobile,Urban,12,1,1626,0
39,Email,Desktop,Rural,14,0,469,5
19,Email,Desktop,Urban,14,0,1243,0
41,Referral,Desktop,Urban,0,1,174,10
47,Referral,Mobile,Urban,2,1,522,0
55,Social,Desktop,Urban,6,0,169,0
19,Social,Mobile,Rural,4,0,934,5
38,Email,Mobile,Rural,5,1,844,5
50,Email,Tablet,Metro,15,0,370,0
29,Ads,Mobile,Urban,0,1,231,10
39,Email,Desktop,Rural,10,1,1221,5
42,Social,Desktop,Metro,0,0,201,0
44,Referral,Mobile,Metro,0,0,1551,0
59,Ads,Desktop,Urban,5,0,1290,15
45,Email,Mobile,Metro,18,0,1228,5
33,Email,Tablet,Rural,1,0,697,5
32,Social,Mobile,Metro,8,1,1672,0
20,Ads,Mobile,Metro,11,1,1565,15
54,Email,Tablet,Rural,2,0,771,5
24,Referral,Desktop,Metro,7,1,734,0
38,Social,Tablet,Metro,24,0,1023,5
26,Ads,Tablet,Metro,7,1,1767,15
56,Email,Mobile,Metro,1,0,1389,0
35,Email,Mobile,Urban,9,0,1918,0
21,Ads,Tablet,Urban,8,0,951,15
42,Social,Desktop,Rural,0,0,519,5
31,Ads,Tablet,Metro,0,0,360,15
26,Ads,Desktop,Rural,1,1,1076,15
43,Social,Tablet,Urban,1,0,1557,0
19,Email,Tablet,Metro,3,1,515,0
37,Referral,Desktop,Metro,6,0,1478,0
45,Social,Tablet,Urban,4,0,1584,0
24,Referral,Mobile,Metro,22,0,800,5
